Violation [domain=[4507008219_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060073_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005490_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507032834_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507025941_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507020718_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062581_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507024546_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005715_00090], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008897_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508071773_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507025939_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036967_00220], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508048487_00160], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062578_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062250_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508057851_00190], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508063905_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507028705_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507012451_00120], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021846_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022931_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508049218_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031489_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062284_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060176_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022933_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011917_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015154_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011917_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044543_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062051_00210], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507000288_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052370_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035035_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508055324_00090], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507036767_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005655_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507013332_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021546_00180], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031484_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005732_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508075422_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507004200_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508054286_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508054741_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508068643_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039544_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508042657_00250], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507024859_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047204_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022913_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508055346_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507001304_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041751_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507002711_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507007075_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508049854_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011902_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507020485_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507018383_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508043134_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044059_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005754_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039903_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508068452_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508053095_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507003932_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507020484_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021546_00070], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508056317_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507013323_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015146_00070], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060047_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035074_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062250_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062653_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508055519_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507025544_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507035113_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060629_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507017100_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507000967_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016031_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052252_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507010196_00120], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507027235_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508048999_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507004118_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508069051_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508067069_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062284_00090], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507024926_00140], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031494_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508072391_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060802_00330], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507009804_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011877_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008897_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508046277_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021179_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039587_00100], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507026274_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039895_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507030253_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507026585_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507032859_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507038666_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015186_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044059_00290], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016313_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041304_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039894_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508058451_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047423_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041649_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507010218_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011917_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507013878_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015154_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508067338_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508070771_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508043159_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041306_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052370_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508070259_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507041757_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508073053_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508051473_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508074527_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507032859_00150], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508050297_00090], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507040032_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508055640_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508042657_00800], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507014373_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508044581_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507027404_00040], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508072221_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507001763_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507025950_00050], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507003558_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507040048_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507039851_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508070771_00360], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508062245_00070], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507023957_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016115_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508063908_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508059921_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508042657_00270], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507005754_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507008894_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507017030_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507025055_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016031_00170], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507021546_00200], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507015105_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047370_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507026404_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508043132_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508055324_00140], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507010196_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060173_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507033025_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507019652_00140], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508060047_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508052365_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508071788_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508067044_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507018825_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047500_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507016031_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508050326_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507013333_00020], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507002711_00190], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508048999_00080], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508065268_00030], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507004118_00060], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4508047167_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507011855_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507020390_00110], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507018405_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507031776_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
Violation [domain=[4507022848_00010], obligation=(Create Purchase Order Item -> Record Goods Receipt, Single=False)]
